track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2ZbnaNF52uSfO4eouvjSrJ,0.209,0.187,1,-17.307,1,0.0461,0.831,2.88e-06,0.116,0.0784,84.837,3
6BOgMI1pVONpiu2xkpMW2i,0.0815,0.205,10,-21.149,1,0.042,0.983,0.839,0.172,0.0556,84.003,4
34IQaMgUdIciIpNWN5CUbl,0.177,0.105,0,-14.264,1,0.0355,0.875,0.000526,0.0986,0.0876,68.941,5
4kF394GKEnI13QdZBM9mxM,0.359,0.109,8,-14.113,0,0.039,0.995,0.00348,0.12,0.234,88.423,1
3AAwJ043uT1wXSKDtGyuxF,0.195,0.0111,7,-31.641,0,0.0337,0.845,0.000881,0.112,0.3,83.735,1
6fxVffaTuwjgEk5h9QyRjy,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,4
1Slwb6dOYkBlWal1PGtnNg,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,4
0tgVpDi06FyKpA1z0VMD4v,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,3
0SuG9kyzGRpDqrCWtgD6Lq,0.526,0.328,1,-9.864,1,0.0461,0.694,0.0,0.112,0.11,116.068,4
0T5iIrXA4p5GsubkhuBIKV,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,3
5cEap0vG6Dc6TJDN77cyF9,0.263,0.163,11,-11.077,1,0.0352,0.913,0.00227,0.12,0.203,89.745,3
4T6HLdP6OcAtqC6tGnQelG,0.686,0.688,6,-4.981,0,0.0254,0.39,1.03e-06,0.0924,0.493,123.125,4
3I09LQbHS3NSU46Ly3tPpR,0.535,0.548,1,-6.51,1,0.037,0.533,1.48e-06,0.123,0.477,115.144,3
4zKbPdCC2o8726tHh5sEJw,0.33,0.161,2,-15.495,1,0.0355,0.891,0.0191,0.101,0.13,67.398,3
6d2i9NFTSQaXIwQUSombV7,0.358,0.395,5,-7.493,1,0.033,0.326,8.55e-06,0.307,0.219,88.908,3
1YlCqvmX9P8XlAKPyHyGw1,0.412,0.394,5,-6.341,1,0.0283,0.127,0.0,0.0833,0.359,68.37,4
5i04Jy87RLxoZszJqY3QAN,0.458,0.483,10,-7.909,1,0.0366,0.624,5.62e-06,0.0754,0.513,104.823,3
4IbOPxstIn2KbdlWf5xRZ0,0.269,0.239,0,-10.522,0,0.03,0.842,0.00194,0.0938,0.162,176.916,3
1NnBOnFPFdYJdauawQt5bN,0.745,0.45,4,-9.121,1,0.0354,0.288,0.0,0.0538,0.807,133.952,4
7vySXLEg91xiAi8J0Qiqwv,0.344,0.191,10,-15.09,1,0.039,0.799,0.0,0.159,0.327,125.374,3
2KNMqqNd3sLfeN4ukKduRT,0.171,0.0632,0,-20.776,1,0.0327,0.945,2.71e-05,0.121,0.168,81.406,3
6ft9PAgNOjmZ2kFVP7LGqb,0.575,0.764,4,-7.448,1,0.0746,0.566,1.07e-05,0.0692,0.536,123.821,4
2ODCaqPXjIELP6Wjrg6h53,0.311,0.162,10,-14.119,1,0.0303,0.886,1.84e-05,0.109,0.168,173.523,3
1QELw50Dl95LusF6uOkDqk,0.459,0.267,0,-8.948,1,0.0294,0.807,0.0,0.119,0.342,63.378,4
1zwMYTA5nlNjZxYrvBB2pV,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,4
73CMRj62VK8nUS4ezD2wvi,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,4
05TOt5Vz4StdjMpEdFPlvB,0.591,0.28,4,-5.494,1,0.0283,0.889,0.0,0.124,0.348,141.916,4
1hHuyqVCZCbhYQixEkdQCo,0.436,0.678,5,-7.211,1,0.0301,0.457,0.0384,0.0873,0.194,170.287,4
5ONbCAFFnAJ0YGClEeddcU,0.476,0.236,4,-16.991,1,0.0456,0.973,0.922,0.108,0.0984,138.456,3
1yHVHoz6Ny29gbbWJYVnFt,0.571,0.761,5,-3.485,1,0.0261,0.0708,0.0,0.331,0.681,91.991,4
26hOm7dTtBi0TdpDGl141t,0.472,0.518,8,-7.379,1,0.051,0.383,0.127,0.289,0.154,147.805,4
69rSEDWuvLS6yyNcESulCc,0.679,0.525,7,-7.015,1,0.0804,0.054,0.0,0.438,0.42,95.091,4
6LXIhiXK8z1KLd3giR904b,0.602,0.565,11,-6.498,1,0.0498,0.329,0.0,0.0622,0.609,208.038,4
0qCcqa0gYjW8rerrC10yun,0.504,0.47,7,-6.105,1,0.0383,0.49,0.0,0.101,0.184,126.039,4
2IOFZdYYkFxEHVz1w34PoL,0.53,0.512,7,-9.261,1,0.0259,0.615,0.00453,0.129,0.411,95.946,4
4G92yYrUs0cvY7G41YRI0z,0.439,0.153,1,-8.95,1,0.0479,0.874,0.0,0.107,0.104,116.76,3
2t3IK52qKDAR2fo5EBkCFT,0.72,0.647,8,-6.688,0,0.159,0.457,0.0,0.0977,0.294,107.04,4
18XEJ4bMuqM0YIrZuir4xy,0.292,0.562,3,-5.193,1,0.031,0.788,0.0,0.203,0.217,139.279,4
1IdM9JrXYuMYiTdM983oH4,0.77,0.484,7,-6.626,1,0.0538,0.464,0.0,0.44,0.793,79.988,4
6lrZiAgjWUcfuj5HHxPsZF,0.482,0.403,10,-7.85,1,0.0311,0.385,0.0,0.113,0.203,76.94,4
0TxSk5fpK01cBLV9ePqcE6,0.36,0.533,3,-4.394,1,0.0302,0.375,0.0,0.0768,0.421,92.854,4
63MgFVcIldlw51imFtcgK1,0.622,0.701,8,-5.452,1,0.0559,0.423,0.0,0.0955,0.645,179.998,4
7neOIVKDsLaUXV5y84jGuY,0.35,0.348,4,-6.156,1,0.0317,0.805,4.48e-06,0.102,0.274,146.603,4
4mj63a9c899Cs5l8gwuC0e,0.324,0.515,8,-3.23,0,0.033,0.757,2.89e-05,0.727,0.311,140.097,4
5mTmB6IgMzomkJvOkQ8WDV,0.72,0.655,5,-3.994,1,0.0248,0.383,0.0,0.156,0.468,104.977,4
1obtU03RXYzuNnzGe31arn,0.709,0.801,0,-3.756,1,0.0627,0.436,0.0,0.0835,0.422,120.031,4
1VrUu8hMTMslRSjsDpSJKc,0.801,0.608,2,-5.474,0,0.0663,0.476,0.0,0.13,0.922,127.958,4
1HYzRuWjmS9LXCkdVHi25K,0.558,0.526,0,-4.686,0,0.033,0.431,0.0,0.126,0.202,124.709,4
3IPJg1sdqLj12kFIndaonN,0.695,0.379,6,-9.147,1,0.034,0.858,0.0,0.106,0.805,105.057,4
6rPO02ozF3bM7NnOV4h6s2,0.653,0.816,2,-4.353,1,0.167,0.228,0.0,0.0967,0.816,178.085,4
32lm3769IRfcnrQV11LO4E,0.723,0.777,7,-3.503,1,0.108,0.0426,3.68e-06,0.0451,0.961,91.017,4
0Kt035u0yJBkOnM1BYPpI6,0.839,0.649,0,-6.121,1,0.0372,0.465,0.0,0.0973,0.904,122.99,4
4qzBepJAKtYu4T1GDtBZZc,0.631,0.516,0,-5.759,1,0.0378,0.738,0.0,0.264,0.254,143.777,4
6yWUojjtn6IMmZEgHyfblf,0.388,0.289,0,-7.394,0,0.0386,0.593,0.0,0.15,0.193,122.522,4
7k5iu5vr7IEW3BdSgwY9mw,0.282,0.426,8,-7.405,1,0.031,0.65,0.000805,0.107,0.129,133.467,4
