id,name,artist,album,release_date,duration_ms,popularity
08MFgEQeVLF37EyZ7jcwLc,Pano,Zack Tabudlo,Pano,2021-12-06,254400,67
2UVrIJBJVRPN9UgzShCJ5c,"I Think I Kinda, You Know - Duet",Olivia Rodrigo,"I Think I Kinda, You Know (From ""High School Musical: The Musical: The Series"")",2019-11-08,172253,53
0QBzMgT7NIeoCYy3sJCof1,Bam Bam (feat. Ed Sheeran),Camila Cabello,Bam Bam (feat. Ed Sheeran),2022-03-04,206070,71
0kWQn0wLok1lawHAkGSMW9,I Like That,Bazzi,Infinite Dream,2022-09-16,158083,55
2NcQic8JxdjAlAHuNbOIRE,Keep Driving,Harry Styles,Harry's House,2022-05-20,140241,70
7I5WT7DtpwSAhEeDLpZEfm,All 4 Nothing (I'm So In Love),Lauv,All 4 Nothing,2022-08-05,183014,62
4q0crFErlOEybi84JzBqTp,Yoü And I,Ben Platt,Yoü And I,2021-06-25,282615,34
2R4O7MgIrN35QXnyLKMFVl,Mrs.,Leon Bridges,Good Thing,2018-05-04,242520,50
4XwGrhiOTz0FapbeOdtCpN,Mi Amor,Daniel Pemberton,Spider-Man: Into the Spider-Verse (Original Score),2018-12-17,79553,51
6uW0PIRcyZLvkoonm763xD,Contando Lunares (feat. Cruz Cafuné),Don Patricio,La Dura Vida del Joven Rapero,2019-01-27,219666,64
2YOGCTiPJWMhZRdeadFj8G,this is what autumn feels like,JVKE,this is what autumn feels like,2023-09-12,219909,65
4SFNe716eUbgX1XvGCTBu7,De Selby (Part 2),Hozier,De Selby (Part 2),2023-07-21,227826,29
31Wlc9ZnraX3JxrvMg9e8H,3 Boys,Omar Apollo,3 Boys,2023-02-17,209188,57
